No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
106,ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,1.80B,14.20,16.56,-0.24%,"124,402"
107,ADXN,Addex Therapeutics Ltd,Healthcare,Biotechnology,Switzerland,50.31M,-,11.31,0.00%,0
108,ADXS,"Advaxis, Inc.",Healthcare,Biotechnology,USA,34.75M,-,0.51,3.62%,"4,356,122"
109,AE,"Adams Resources & Energy, Inc.",Energy,Oil & Gas Integrated,USA,89.66M,-,21.45,0.61%,571
110,AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,USA,20.29B,24.39,83.39,0.43%,"1,024,846"
111,AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",Financial,Asset Management,United Kingdom,346.13M,-,6.82,-0.58%,"359,913"
112,AEG,Aegon N.V.,Financial,Insurance - Diversified,Netherlands,6.06B,4.93,2.92,1.39%,"1,439,634"
113,AEGN,Aegion Corporation,Industrials,Engineering & Construction,USA,481.01M,-,15.74,1.88%,"66,236"
114,AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,30.35M,-,1.31,0.00%,"42,872"
115,AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,USA,2.77B,42.69,72.49,-1.13%,"122,742"
116,AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA,2.40B,10.04,26.23,-2.31%,"2,665,905"
117,AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,19.58B,38.71,79.24,-0.55%,"658,158"
118,AEMD,"Aethlon Medical, Inc.",Healthcare,Medical Devices,USA,18.97M,-,1.65,-2.37%,"273,364"
119,AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,USA,2.50B,-,14.68,1.45%,"2,973,011"
120,AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,USA,44.60B,23.93,91.88,-0.35%,"2,996,370"
121,AER,AerCap Holdings N.V.,Industrials,Airports & Air Services,Ireland,3.89B,3.58,30.12,1.18%,"1,712,910"
122,AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,455.07M,-,9.91,2.38%,"1,044,805"
123,AES,The AES Corporation,Utilities,Utilities - Diversified,USA,13.71B,72.71,20.65,1.18%,"3,817,400"
124,AESE,Allied Esports Entertainment Inc.,Communication Services,Entertainment,USA,37.62M,-,1.14,-0.87%,"648,024"
125,AESR,Anfield U.S. Equity Sector Rotation ETF,Financial,Exchange Traded Fund,USA,-,-,11.21,0.30%,846
126,AEY,"ADDvantage Technologies Group, Inc.",Technology,Electronics & Computer Distribution,USA,23.59M,-,2.03,-2.40%,"42,085"
127,AEYE,"AudioEye, Inc.",Technology,Software - Application,USA,163.87M,-,16.62,-0.30%,"38,517"
128,AEZS,Aeterna Zentaris Inc.,Healthcare,Biotechnology,USA,22.00M,-,0.36,2.03%,"477,704"
129,AFB,AllianceBernstein National Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,390.36M,-,13.58,-0.07%,"33,482"
130,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,USA,6.76B,29.64,75.81,0.12%,"441,813"
131,AFI,"Armstrong Flooring, Inc.",Industrials,Building Products & Equipment,USA,79.66M,-,3.74,1.63%,"480,051"
132,AFIB,"Acutus Medical, Inc.",Healthcare,Medical Devices,USA,746.29M,-,26.25,5.00%,"58,601"
133,AFIF,Anfield Universal Fixed Income ETF,Financial,Exchange Traded Fund,USA,-,-,9.77,0.05%,"3,702"
134,AFIN,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA,696.67M,-,6.15,0.08%,"277,240"
135,AFK,VanEck Vectors Africa Index ETF,Financial,Exchange Traded Fund,USA,-,-,18.4,1.49%,"7,540"
136,AFL,Aflac Incorporated,Financial,Insurance - Life,USA,27.01B,9.46,37.85,0.91%,"2,464,991"
137,AFLG,First Trust Active Factor Large Cap ETF,Financial,Exchange Traded Fund,USA,-,-,20.76,0.41%,702
138,AFMD,Affimed N.V.,Healthcare,Biotechnology,Germany,298.95M,-,3.3,0.30%,"394,727"
139,AFT,Apollo Senior Floating Rate Fund Inc.,Financial,Asset Management,USA,199.49M,-,12.81,0.16%,"58,112"
140,AFTY,Pacer CSOP FTSE China A50 ETF,Financial,Exchange Traded Fund,USA,-,-,20.76,0.09%,"1,534"
141,AFYA,Afya Limited,Consumer Defensive,Education & Training Services,Brazil,2.55B,40.08,26.37,4.44%,"107,737"
142,AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,2.41B,-,10.98,0.46%,"3,180,758"
143,AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,USA,6.14B,196.26,82.82,1.14%,"522,053"
144,AGD,Aberdeen Global Dynamic Dividend Fund,Financial,Closed-End Fund - Foreign,USA,115.58M,-,9.21,0.22%,"24,874"
145,AGE,"AgeX Therapeutics, Inc.",Healthcare,Biotechnology,USA,57.67M,-,1.66,5.06%,"350,267"
146,AGEN,Agenus Inc.,Healthcare,Biotechnology,USA,704.63M,-,3.94,-3.43%,"2,564,007"
147,AGFS,"AgroFresh Solutions, Inc.",Consumer Defensive,Farm Products,USA,120.96M,-,2.24,-2.18%,"44,540"
148,AGG,iShares Core U.S. Aggregate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,117.47,0.14%,"3,537,333"
149,AGGP,IQ Enhanced Core Plus Bond U.S. ETF,Financial,Exchange Traded Fund,USA,-,-,19.7,0.18%,966
150,AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,-,53.52,0.06%,"65,878"
151,AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada,3.29B,60.43,8.4,-1.18%,"2,078,652"
152,AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2.58B,-,38.04,-2.14%,"681,073"
153,AGLE,"Aeglea BioTherapeutics, Inc.",Healthcare,Biotechnology,USA,343.83M,-,7.68,-4.36%,"1,607,871"
154,AGM,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA,715.32M,8.82,69.18,0.49%,"45,411"
155,AGMH,AGM Group Holdings Inc.,Technology,Software - Application,Hong Kong,331.50M,-,15.44,1.18%,"6,143"
156,AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA,7.92B,-,14.19,1.47%,"4,313,464"
157,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,2.40B,7.80,28.36,1.47%,"574,687"
158,AGQ,ProShares Ultra Silver,Financial,Exchange Traded Fund,USA,-,-,46.34,-0.66%,"852,015"
159,AGR,"Avangrid, Inc.",Utilities,Utilities - Regulated Electric,USA,15.52B,22.08,50.0,1.24%,"908,654"
160,AGRO,Adecoagro S.A.,Consumer Defensive,Farm Products,Luxembourg,586.79M,-,4.98,0.40%,"139,811"
161,AGRX,"Agile Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,261.80M,-,2.99,-0.66%,"792,330"
162,AGS,"PlayAGS, Inc.",Consumer Cyclical,Gambling,USA,116.79M,-,3.29,-2.37%,"246,046"
163,AGT,iShares MSCI Argentina and Global Exposure ETF,Financial,Exchange Traded Fund,USA,-,-,21.68,1.49%,296
164,AGTC,Applied Genetic Technologies Corporation,Healthcare,Biotechnology,USA,139.12M,-,5.46,1.30%,"60,956"
165,AGX,"Argan, Inc.",Industrials,Engineering & Construction,USA,655.59M,-,42.16,2.83%,"49,235"
166,AGYS,"Agilysys, Inc.",Technology,Software - Application,USA,637.00M,-,26.72,2.18%,"92,830"
167,AGZ,iShares Agency Bond ETF,Financial,Exchange Traded Fund,USA,-,-,120.7,0.02%,"35,222"
168,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,Financial,Exchange Traded Fund,USA,-,-,47.01,0.00%,"7,692"
169,AHACU,Alpha Healthcare Acquisition Corp.,Financial,Shell Companies,USA,-,-,9.9,0.20%,"9,918"
170,AHC,A.H. Belo Corporation,Communication Services,Publishing,USA,30.41M,-,1.44,1.41%,"6,104"
171,AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,USA,2.38B,-,28.54,7.90%,"500,394"
172,AHH,"Armada Hoffler Properties, Inc.",Real Estate,REIT - Diversified,USA,725.04M,18.86,8.96,1.93%,"199,119"
173,AHPI,"Allied Healthcare Products, Inc.",Healthcare,Medical Devices,USA,19.51M,-,4.94,-1.00%,"50,561"
174,AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,USA,23.34M,-,1.76,2.92%,"1,859,709"
175,AI,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,101.58M,-,2.73,4.20%,"202,699"
176,AIA,iShares Asia 50 ETF,Financial,Exchange Traded Fund,USA,-,-,76.05,0.68%,"50,368"
177,AIEQ,AI Powered Equity ETF,Financial,Exchange Traded Fund,USA,-,-,31.67,-0.19%,"8,365"
178,AIF,Apollo Tactical Income Fund Inc.,Financial,Asset Management,USA,184.56M,-,12.76,-0.08%,"36,870"
179,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,27.59B,-,32.38,1.16%,"4,358,498"
180,AIH,Aesthetic Medical International Holdings Group Limited,Healthcare,Medical Care Facilities,China,128.90M,-,5.91,1.90%,"65,811"
181,AIHS,Senmiao Technology Limited,Financial,Credit Services,China,51.74M,-,1.16,-4.13%,"2,851,236"
182,AIIQ,AI Powered International Equity ETF,Financial,Exchange Traded Fund,USA,-,-,27.86,0.00%,220
183,AIKI,AIkido Pharma Inc.,Healthcare,Biotechnology,USA,20.67M,-,0.58,0.38%,"304,404"
184,AIM,AIM ImmunoTech Inc.,Healthcare,Biotechnology,USA,84.84M,-,2.1,0.96%,"672,900"
185,AIMC,Altra Industrial Motion Corp.,Industrials,Specialty Industrial Machinery,USA,2.88B,-,44.82,10.80%,"907,423"
186,AIMT,"Aimmune Therapeutics, Inc.",Healthcare,Biotechnology,USA,2.26B,-,34.49,0.00%,0
187,AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,USA,1.72B,15.92,54.45,-1.75%,"122,868"
188,AINC,Ashford Inc.,Financial,Asset Management,USA,12.97M,-,5.17,1.89%,"3,475"
189,AINV,Apollo Investment Corporation,Financial,Asset Management,USA,559.60M,-,8.32,1.46%,"244,907"
190,AIO,AllianzGI Artificial Intelligence Opportunities Fund,Financial,Closed-End Fund - Equity,USA,781.54M,-,22.77,1.52%,"115,793"
191,AIQ,Global X Artificial Intelligence & Technology ETF,Financial,Exchange Traded Fund,USA,-,-,24.59,0.87%,"35,142"
192,AIR,AAR Corp.,Industrials,Aerospace & Defense,USA,730.23M,-,20.57,-0.44%,"236,852"
193,AIRG,"Airgain, Inc.",Technology,Communication Equipment,USA,132.47M,-,13.26,0.45%,"26,823"
194,AIRI,Air Industries Group,Industrials,Aerospace & Defense,USA,32.14M,-,1.04,0.89%,"54,804"
195,AIRR,First Trust RBA American Industrial RenaissanceTM ETF,Financial,Exchange Traded Fund,USA,-,-,28.52,0.97%,"32,218"
196,AIRT,"Air T, Inc.",Industrials,Integrated Freight & Logistics,USA,29.00M,-,10.07,1.72%,315
197,AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial Distribution,USA,2.37B,111.97,61.92,1.43%,"117,743"
198,AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential,USA,5.16B,27.77,33.85,-0.65%,"1,449,036"
199,AIZ,"Assurant, Inc.",Financial,Insurance - Specialty,USA,7.49B,25.85,125.99,1.12%,"258,530"
200,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,20.55B,29.52,107.92,0.15%,"561,450"
201,AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrials,Aerospace & Defense,USA,2.97B,24.54,37.69,-0.13%,"359,580"
202,AJX,Great Ajax Corp.,Real Estate,REIT - Mortgage,USA,189.48M,10.57,8.16,2.26%,"108,918"
203,AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,USA,17.11B,32.35,106.75,-1.16%,"2,665,577"
204,AKBA,"Akebia Therapeutics, Inc.",Healthcare,Biotechnology,USA,434.36M,-,3.18,-3.05%,"21,468,284"
205,AKER,"Akers Biosciences, Inc.",Healthcare,Medical Instruments & Supplies,USA,19.56M,-,2.21,0.00%,"65,187"
206,AKO-A,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,Chile,1.71B,11.33,10.81,-2.44%,"3,278"
207,AKO-B,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,Chile,1.90B,9.70,12.58,-3.26%,"65,300"
208,AKR,Acadia Realty Trust,Real Estate,REIT - Retail,USA,941.32M,21.60,10.56,4.35%,"679,361"
209,AKRO,"Akero Therapeutics, Inc.",Healthcare,Biotechnology,USA,894.52M,-,26.24,1.67%,"115,116"
210,AKTS,"Akoustis Technologies, Inc.",Technology,Communication Equipment,USA,318.69M,-,8.06,2.94%,"463,778"
211,AKTX,"Akari Therapeutics, Plc",Healthcare,Biotechnology,United Kingdom,57.84M,-,1.68,-1.18%,"92,484"
212,AKUS,"Akouos, Inc.",Healthcare,Biotechnology,USA,623.90M,-,19.7,4.29%,"58,556"
213,AL,Air Lease Corporation,Industrials,Rental & Leasing Services,USA,3.66B,6.18,32.1,0.38%,"903,431"
214,ALAC,Alberton Acquisition Corporation,Financial,Shell Companies,Hong Kong,159.63M,601.67,10.83,-1.55%,"5,063"
215,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,10.36B,23.42,96.48,1.60%,"637,660"
216,ALBO,"Albireo Pharma, Inc.",Healthcare,Biotechnology,USA,654.43M,-,34.81,-1.02%,"81,296"
217,ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,Switzerland,30.49B,-,62.34,1.91%,"1,161,419"
218,ALCO,"Alico, Inc.",Consumer Defensive,Farm Products,USA,232.21M,10.08,30.92,-0.32%,"7,485"
219,ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,Biotechnology,USA,249.98M,-,7.64,0.66%,"266,831"
220,ALE,"ALLETE, Inc.",Utilities,Utilities - Diversified,USA,2.91B,17.32,55.95,0.77%,"134,541"
221,ALEC,"Alector, Inc.",Healthcare,Biotechnology,USA,708.43M,-,9.49,0.11%,"434,278"
222,ALEX,"Alexander & Baldwin, Inc.",Real Estate,REIT - Diversified,USA,925.07M,-,12.7,-2.61%,"365,021"
223,ALFA,ETF Series Solutions - AlphaClone Alternative Alpha ETF,Financial,Exchange Traded Fund,USA,-,-,68.3,0.68%,315
224,ALG,Alamo Group Inc.,Industrials,Farm & Heavy Construction Machinery,USA,1.49B,26.63,125.0,1.61%,"37,502"
